GAZP_OPEN,GAZP_VOL,SBER_OPEN,SBER_VOL,DATE,TIME,MON,TUE,WED,THU,FRI
139.28,30170,137.04,6630,42578,142500,0,0,1,0,0
139.32,70,137.05,14430,42578,142600,0,0,1,0,0
139.35,140,137.05,56750,42578,142700,0,0,1,0,0
139.34,5370,136.96,54150,42578,142800,0,0,1,0,0
139.3,40280,136.95,84630,42578,142900,0,0,1,0,0
139.3,14060,137,46920,42578,143000,0,0,1,0,0
139.3,0,137.02,42860,42578,143100,0,0,1,0,0
139.34,60790,137,125500,42578,143200,0,0,1,0,0
139.31,58600,137.08,192460,42578,143300,0,0,1,0,0
139.25,79740,137.04,59840,42578,143400,0,0,1,0,0
139.32,23310,137.02,74340,42578,143500,0,0,1,0,0
139.35,29800,137.05,4640,42578,143600,0,0,1,0,0
139.28,68150,137.05,46400,42578,143700,0,0,1,0,0
139.24,5090,137.04,12740,42578,143800,0,0,1,0,0
139.28,33080,137.06,49670,42578,143900,0,0,1,0,0
139.25,8140,137.04,29770,42578,144000,0,0,1,0,0
139.25,26790,137.08,317010,42578,144100,0,0,1,0,0
139.25,22590,136.97,422050,42578,144200,0,0,1,0,0
139.19,1100,136.81,81470,42578,144300,0,0,1,0,0
139.2,64210,136.84,197710,42578,144400,0,0,1,0,0
139.26,840,136.97,193870,42578,144500,0,0,1,0,0
139.29,17590,136.92,269750,42578,144600,0,0,1,0,0
139.26,34860,136.8,267630,42578,144700,0,0,1,0,0
139.18,423010,136.71,32230,42578,144800,0,0,1,0,0
139.08,32360,136.72,60140,42578,144900,0,0,1,0,0
139.09,35250,136.68,353430,42578,145000,0,0,1,0,0
139.06,70500,136.58,96890,42578,145100,0,0,1,0,0
139.06,35270,136.58,163480,42578,145200,0,0,1,0,0
139.11,7160,136.57,263310,42578,145300,0,0,1,0,0
139.15,16940,136.51,203750,42578,145400,0,0,1,0,0
139.1,6470,136.51,25170,42578,145500,0,0,1,0,0
139.11,16190,136.58,77340,42578,145600,0,0,1,0,0
139.11,25060,136.56,112930,42578,145700,0,0,1,0,0
139.09,47500,136.7,437170,42578,145800,0,0,1,0,0
139.12,46780,136.76,375740,42578,145900,0,0,1,0,0
139.06,44750,136.95,542520,42578,150000,0,0,1,0,0
139.15,104600,137.04,538080,42578,150100,0,0,1,0,0
139.03,87170,137.13,347080,42578,150200,0,0,1,0,0
139.06,32310,137.17,28990,42578,150300,0,0,1,0,0
139.08,12540,137.14,82890,42578,150400,0,0,1,0,0
139.02,317770,137.12,35320,42578,150500,0,0,1,0,0
139.04,77270,137.09,58180,42578,150600,0,0,1,0,0
138.98,25710,136.98,108960,42578,150700,0,0,1,0,0
138.98,13310,136.99,8910,42578,150800,0,0,1,0,0
138.95,1590,136.97,10480,42578,150900,0,0,1,0,0
138.98,7250,137,17980,42578,151000,0,0,1,0,0
139.03,11530,137.03,56570,42578,151100,0,0,1,0,0
138.99,22290,136.97,490,42578,151200,0,0,1,0,0
139.01,107050,136.98,95680,42578,151300,0,0,1,0,0
138.95,30620,137.03,214170,42578,151400,0,0,1,0,0
138.96,111790,137.18,147950,42578,151500,0,0,1,0,0
138.97,68910,137.17,978210,42578,151600,0,0,1,0,0
138.97,131440,137.21,762750,42578,151700,0,0,1,0,0
138.92,23290,137.17,12040,42578,151800,0,0,1,0,0
138.95,12950,137.14,14610,42578,151900,0,0,1,0,0
138.91,6640,137.16,11000,42578,152000,0,0,1,0,0
138.9,82250,137.15,12890,42578,152100,0,0,1,0,0
138.88,66510,137.11,24360,42578,152200,0,0,1,0,0
138.87,28800,137.04,53920,42578,152300,0,0,1,0,0
138.87,9640,137.02,43120,42578,152400,0,0,1,0,0
